array length;array id;Sort type;start time;comparisons;swaps;end time;duration (milliseconds)
62500;21;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917164;454868;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;21;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1178095;41596;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;22;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917281;454693;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;22;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1217134;41706;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;23;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917143;455109;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;23;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1282751;41680;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;24;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917086;454956;Sat Sep 23 21:58:12 BRT 2023;7.0
62500;24;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1155760;41741;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;25;MergeSort;Sat Sep 23 21:58:12 BRT 2023;916937;454586;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;25;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1136339;41695;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;26;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917056;455017;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;26;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1238347;41664;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;27;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917113;455085;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;27;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1213981;41661;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;28;MergeSort;Sat Sep 23 21:58:12 BRT 2023;916938;454771;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;28;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1181575;41720;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;29;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917172;455086;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;29;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1179136;41693;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;30;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917171;454712;Sat Sep 23 21:58:12 BRT 2023;7.0
